Tribunal,Estado(s),Sistema,Instância,Citações/Intimações,Anexos,Audiências,Dá ciência,Info
TJSC,Santa Catarina,ESAJ,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJSC,Santa Catarina,ESAJ,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJSC,Santa Catarina,e-Proc,1a,Sim,"Sim, ciência não necessária",Implementação provavelmente rápida,Sim,
TJSC,Santa Catarina,e-Proc,2a,Sim,"Sim, ciência não necessária",Implementação provavelmente rápida,Sim,
TJSP,São Paulo,ESAJ,1a,Sim,"Sim, ciência não necessária",Não disponibilizado pelo tribunal,Sim,
TJSP,São Paulo,ESAJ,2a,Sim,"Sim, ciência não necessária",Não disponibilizado pelo tribunal,Sim,
TJSE,Sergipe,Próprio,1a,Sim,Não disponibilizado pelo tribunal,Não,Sim,
TJSE,Sergipe,Próprio,2a,Sim,Não disponibilizado pelo tribunal,Não,Sim,
TJTO,Tocantins,e-Proc,1a,Sim,"Sim, ciência não necessária",Implementação provavelmente rápida,Sim,
TJTO,Tocantins,e-Proc,2a,Sim,"Sim, ciência não necessária",Implementação provavelmente rápida,Sim,
TJTO,Tocantins,Projudi,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
